Berom,English
naga na ne kuru rwit na vɛ betungun,185
naga na ne kuru rwit na vɛ batyiimin,186
naga na ne kuru rwit na nɛ netaama,187
naga na ne kuru rwit na vɛ rwit,188
naga na ne kuru rwit na nɛ shanetat,189
naga na ne kuru shanetat,190
naga na ne kuru shanetat na wɛ gwining,191
naga na ne kuru shanetat na vɛ beba,192
naga na ne kuru shanetat na vɛ betat,193
naga na ne kuru shanetat na vɛ benaas,194
naga na ne kuru shanetat na vɛ betungun,195
naga na ne kuru shanetat na vɛ batyiimin,196
naga na ne kuru shanetat na nɛ netaama,197
naga na ne kuru shanetat na vɛ rwit,198
naga na ne kuru shanetat na nɛ shanetat,199
naga beba ,200
naga beba na wɛ gwining,201
naga beba  na ne beba,202
naga beba na nɛ netat,203
naga beba na ne banaas,204
naga beba na vɛ betungun,205
naga beba na vɛ batyiimin,206
naga beba na nɛ netaama,207
naga beba na nɛ rwit,208
naga beba na nɛ shanetat,209
naga beba na ne kuru,210
naga beba  na ne kuru na wɛ gwining,211
naga beba  na ne kuru na ne beba,212
naga beba na ne kuru na nɛ netat,213
naga beba na ne kuru na ne banaas,214
naga beba na ne kuru na vɛ betungun,215
naga beba na ne kuru na vɛ batyiimin,216
naga beba na ne kuru na nɛ netaama,217
naga beba na ne kuru na nɛ rwit,218
naga beba na ne kuru na nɛ shanetat,219
naga beba na ne kuru baba,220
naga beba na ne kuru baba na wɛ gwining,221
naga beba na ne kuru baba na vɛ beba,222
naga beba na ne kuru baba na vɛ betat,223
naga beba na ne kuru baba na vɛ benaas,224
naga beba na ne kuru baba na vɛ betungun,225
naga beba na ne kuru baba na vɛ batyiimin,226
naga beba na ne kuru baba na nɛ netaama,227
naga beba na ne kuru beba ba ne rwit,228
naga beba na ne kuru beba na ne shenatat,229
naga beba na ne kuru batat,230
naga beba na ne kuru bata na wɛ gwining,231
naga beba na ne kuru batat na vɛ beba,232
naga beba na ne kuru batat na vɛ betat,233
naga beba na ne kuru batat na vɛ benaas,234
naga beba na ne kuru batat na vɛ betungun,235
naga beba na ne kuru batat na vɛ batyiimin,236
naga beba na ne kuru batat na nɛ netaama,237
naga beba na ne kuru batat na vɛ rwit,238
naga beba na ne kuru batat na nɛ shanetat,239
naga beba na ne kuru banaas,240
naga beba na ne kuru banaas na wɛ gwining,241
naga beba na ne kuru banaas  na vɛ beba,242
naga beba na ne kuru banaas na vɛ betat,243
naga beba na ne kuru banaas na vɛ benaas,244
naga beba na ne kuru banaas na vɛ betungun,245
naga beba na ne kuru banaas na vɛ batyiimin,246
naga beba na ne kuru banaas na nɛ netaama,247
naga beba na ne kuru banaas na vɛ rwit,248
naga beba na ne kuru banaas na nɛ shanetat,249
naga beba na ne kuru betungun,250
naga beba na ne kuru betungun na wɛ gwining,251
naga beba na ne kuru betungun  na vɛ beba,252
naga beba na ne kuru betungun na vɛ betat,253
naga beba na ne kuru betungun na vɛ benaas,254
naga beba na ne kuru betungun na vɛ betungun,255
naga beba na ne kuru betungun na vɛ batyiimin,256
naga beba na ne kuru betungun na nɛ netaama,257
naga beba na ne kuru betungun na vɛ rwit,258
naga beba na ne kuru betungun na nɛ shanetat,259
naga beba na ne kuru batyiimin,260
naga beba na ne kuru batyiimin na wɛ gwining,261
naga beba na ne kuru batyiimin  na vɛ beba,262
naga beba na ne kuru batyiimin na vɛ betat,263
naga beba na ne kuru batyiimin na vɛ benaas,264
naga beba na ne kuru batyiimin na vɛ betungun,265
naga beba na ne kuru batyiimin na vɛ batyiimin,266
naga beba na ne kuru batyiimin na nɛ netaama,267
naga beba na ne kuru batyiimin na vɛ rwit,268
naga beba na ne kuru batyiimin na nɛ shanetat,269
naga beba na ne kuru betaama,270
naga beba na ne kuru betaama na wɛ gwining,271
naga beba na ne kuru betaama  na vɛ beba,272
naga beba na ne kuru betaama na vɛ betat,273
naga beba na ne kuru betaama na vɛ benaas,274
naga beba na ne kuru betaama na vɛ betungun,275
naga beba na ne kuru betaama na vɛ batyiimin,276
naga beba na ne kuru betaama na nɛ netaama,277
naga beba na ne kuru betaama na vɛ rwit,278
naga beba na ne kuru betaama na nɛ shanetat,279
naga beba na ne kuru rwit,280
naga beba na ne kuru rwit na wɛ gwining,281
naga beba na ne kuru rwit  na vɛ beba,282
naga beba na ne kuru rwit na vɛ betat,283
naga beba na ne kuru rwit na vɛ benaas,284
naga beba na ne kuru rwit na vɛ betungun,285
naga beba na ne kuru rwit na vɛ batyiimin,286
naga beba na ne kuru rwit na nɛ netaama,287
naga beba na ne kuru rwit na vɛ rwit,288
naga beba na ne kuru rwit na nɛ shanetat,289
naga beba na ne kuru shanetat,290
naga beba na ne kuru shanetat na wɛ gwining,291
naga beba na ne kuru shanetat na vɛ beba,292
naga beba na ne kuru shanetat na vɛ betat,293
naga beba na ne kuru shanetat na vɛ benaas,294
naga beba na ne kuru shanetat na vɛ betungun,295
naga beba na ne kuru shanetat na vɛ batyiimin,296
naga beba na ne kuru shanetat na nɛ netaama,297
naga beba na ne kuru shanetat na vɛ rwit,298
naga beba na ne kuru shanetat na nɛ shanetat,299
naga betat,300
naga betat na ne gwining,301
naga betat na ne beba,302
naga betat na ne betat,303
naga betat na ne banaas,304
naga betat na ne betungun,305
naga betat na ne batyiimin,306
naga betat na ne betaama,307
naga betat na ne rwit,308
naga betat na ne shanetat,309
naga betat na ne kuru,310
naga betat na ne kuru na wɛ gwining,311
naga betat na ne kuru na ne beba,312
naga betat na ne kuru na nɛ netat,313
naga betat na ne kuru na ne banaas,314
naga betat na ne kuru na vɛ betungun,315
naga betat na ne kuru na vɛ batyiimin,316
naga betat na ne kuru na nɛ netaama,317
naga betat na ne kuru na nɛ rwit,318
